pulled_at,contest,question,slug,candidate,probability,liquidity
2026-09-05T13:52:03.031414+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Kamala Harris,0.05370672134590511,32000
2026-09-05T13:52:03.031414+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Gretchen Whitmer,0.004936934811088462,32000
2026-09-05T13:52:03.031414+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Gavin Newsom,0.17901534068595001,32000
2026-09-05T13:52:03.031414+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Pete Buttigieg,0.04838912109098265,32000
2026-09-05T13:52:03.031414+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Josh Shapiro,0.038372391573119696,32000
2026-09-05T13:52:03.031414+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Andy Beshear,0.019828986622026354,32000
2026-09-05T13:52:03.031414+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Alexandria Ocasio-Cortez,0.166055347124333,32000
2026-09-05T13:52:03.031414+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Jon Ossoff,0.19654194599595035,32000
2026-09-05T13:52:03.031414+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Mark Kelly,0.03529850402217812,32000
2026-09-05T13:52:03.031414+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Gavin Newsom,0.10883692915210788,2795
2026-09-05T13:52:03.031414+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Kamala Harris,0.03215655959500634,2795
2026-09-05T13:52:03.031414+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Gretchen Whitmer,0.011038140473748428,2795
2026-09-05T13:52:03.031414+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Pete Buttigieg,0.025757947111147858,2795
2026-09-05T13:52:03.031414+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Alexandria Ocasio-Cortez,0.09490060379635361,2795
2026-09-05T13:52:03.031414+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Josh Shapiro,0.03042903712233252,2795
2026-09-05T13:52:03.031414+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Andy Beshear,0.009150229099587775,2795
2026-09-05T13:52:03.031414+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Marco Rubio,0.11180035977136407,2795
