pulled_at,contest,question,slug,candidate,probability,liquidity
2026-09-13T14:55:08.029525+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Kamala Harris,0.07210204316456426,32000
2026-09-13T14:55:08.029525+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Gretchen Whitmer,0.004937080560902341,32000
2026-09-13T14:55:08.029525+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Gavin Newsom,0.17339377051930083,32000
2026-09-13T14:55:08.029525+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Pete Buttigieg,0.04804623258926719,32000
2026-09-13T14:55:08.029525+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Josh Shapiro,0.038216539073815836,32000
2026-09-13T14:55:08.029525+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Andy Beshear,0.0197644784099902,32000
2026-09-13T14:55:08.029525+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Alexandria Ocasio-Cortez,0.15483986417340279,32000
2026-09-13T14:55:08.029525+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Jon Ossoff,0.19496469017108664,32000
2026-09-13T14:55:08.029525+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Mark Kelly,0.0351810841838245,32000
2026-09-13T14:55:08.029525+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Gavin Newsom,0.10538971737879242,2795
2026-09-13T14:55:08.029525+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Kamala Harris,0.033922160107598125,2795
2026-09-13T14:55:08.029525+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Gretchen Whitmer,0.011004720698333394,2795
2026-09-13T14:55:08.029525+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Pete Buttigieg,0.025631335977743055,2795
2026-09-13T14:55:08.029525+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Alexandria Ocasio-Cortez,0.09388177745504436,2795
2026-09-13T14:55:08.029525+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Josh Shapiro,0.030232096182297653,2795
2026-09-13T14:55:08.029525+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Andy Beshear,0.009103313757566336,2795
2026-09-13T14:55:08.029525+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Marco Rubio,0.10653954346779605,2795
