pulled_at,contest,question,slug,candidate,probability,liquidity
2026-08-29T15:38:18.441273+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Kamala Harris,0.06181112644551214,32000
2026-08-29T15:38:18.441273+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Gretchen Whitmer,0.0049580117342961,32000
2026-08-29T15:38:18.441273+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Gavin Newsom,0.17520872235998988,32000
2026-08-29T15:38:18.441273+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Pete Buttigieg,0.04531135455771255,32000
2026-08-29T15:38:18.441273+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Josh Shapiro,0.03860676062690902,32000
2026-08-29T15:38:18.441273+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Andy Beshear,0.01999566699873993,32000
2026-08-29T15:38:18.441273+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Alexandria Ocasio-Cortez,0.18216730613140886,32000
2026-08-29T15:38:18.441273+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Jon Ossoff,0.16706520558702173,32000
2026-08-29T15:38:18.441273+00:00,dem_nominee,2028 Democratic nominee?,2028-democratic-nominee,Mark Kelly,0.045193471917040935,32000
2026-08-29T15:38:18.441273+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Gavin Newsom,0.11161133991779675,2795
2026-08-29T15:38:18.441273+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Kamala Harris,0.032638273979816806,2795
2026-08-29T15:38:18.441273+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Gretchen Whitmer,0.011116312351920189,2795
2026-08-29T15:38:18.441273+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Pete Buttigieg,0.026055438253681257,2795
2026-08-29T15:38:18.441273+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Alexandria Ocasio-Cortez,0.09000699932432445,2795
2026-08-29T15:38:18.441273+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Josh Shapiro,0.030603255649338516,2795
2026-08-29T15:38:18.441273+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Andy Beshear,0.009260545368568879,2795
2026-08-29T15:38:18.441273+00:00,president,Who will win the 2028 US presidential election?,who-will-win-the-2028-us-presidenti,Marco Rubio,0.11130148550675506,2795
