poll_date,pollster,candidate_lastname,pct
"March 14–16, 2025",Morning Consult,Buttigieg,10.0
"March 14–16, 2025",Morning Consult,Harris,36.0
"March 14–16, 2025",Morning Consult,Newsom,5.0
"March 14–16, 2025",Morning Consult,Ocasio-Cortez,5.0
"March 14–16, 2025",Morning Consult,Shapiro,4.0
"March 10–13, 2025",Echelon Insights,Buttigieg,10.0
"March 10–13, 2025",Echelon Insights,Harris,33.0
"March 10–13, 2025",Echelon Insights,Newsom,7.0
"March 10–13, 2025",Echelon Insights,Ocasio-Cortez,7.0
"March 10–13, 2025",Echelon Insights,Shapiro,2.0
"February 13–16, 2025",SurveyUSA,Buttigieg,11.0
"February 13–16, 2025",SurveyUSA,Harris,37.0
"February 13–16, 2025",SurveyUSA,Newsom,9.0
"February 13–16, 2025",SurveyUSA,Ocasio-Cortez,7.0
"February 13–16, 2025",SurveyUSA,Shapiro,6.0
"February 11–18, 2025",McLaughlin & Associates,Buttigieg,8.0
"February 11–18, 2025",McLaughlin & Associates,Harris,36.0
"February 11–18, 2025",McLaughlin & Associates,Newsom,4.0
"February 11–18, 2025",McLaughlin & Associates,Ocasio-Cortez,3.0
"February 11–18, 2025",McLaughlin & Associates,Shapiro,3.0
"February 10–13, 2025",Echelon Insights,Buttigieg,10.0
"February 10–13, 2025",Echelon Insights,Harris,36.0
"February 10–13, 2025",Echelon Insights,Newsom,6.0
"February 10–13, 2025",Echelon Insights,Ocasio-Cortez,5.0
"February 10–13, 2025",Echelon Insights,Shapiro,3.0
"January 22–27, 2025",McLaughlin & Associates,Buttigieg,9.0
"January 22–27, 2025",McLaughlin & Associates,Harris,33.0
"January 22–27, 2025",McLaughlin & Associates,Newsom,7.0
"January 22–27, 2025",McLaughlin & Associates,Ocasio-Cortez,6.0
"January 22–27, 2025",McLaughlin & Associates,Shapiro,3.0
"December 11–16, 2024",McLaughlin & Associates,Buttigieg,12.0
"December 11–16, 2024",McLaughlin & Associates,Harris,35.0
"December 11–16, 2024",McLaughlin & Associates,Newsom,7.0
"December 11–16, 2024",McLaughlin & Associates,Ocasio-Cortez,3.0
"December 11–16, 2024",McLaughlin & Associates,Shapiro,5.0
"November 20–22, 2024",Emerson College,Buttigieg,4.0
"November 20–22, 2024",Emerson College,Harris,37.0
"November 20–22, 2024",Emerson College,Newsom,7.0
"November 20–22, 2024",Emerson College,Ocasio-Cortez,1.0
"November 20–22, 2024",Emerson College,Shapiro,3.0
"November 14–18, 2024",Echelon Insights,Buttigieg,6.0
"November 14–18, 2024",Echelon Insights,Harris,41.0
"November 14–18, 2024",Echelon Insights,Newsom,8.0
"November 14–18, 2024",Echelon Insights,Ocasio-Cortez,4.0
"November 14–18, 2024",Echelon Insights,Shapiro,7.0
"November 15–17, 2024",Morning Consult,Buttigieg,9.0
"November 15–17, 2024",Morning Consult,Harris,43.0
"November 15–17, 2024",Morning Consult,Newsom,8.0
"November 15–17, 2024",Morning Consult,Ocasio-Cortez,4.0
"November 15–17, 2024",Morning Consult,Shapiro,5.0
"May 28–29, 2024",Morning Consult/Politico,Buttigieg,10.0
"May 28–29, 2024",Morning Consult/Politico,Harris,21.0
"May 28–29, 2024",Morning Consult/Politico,Newsom,10.0
"May 28–29, 2024",Morning Consult/Politico,Shapiro,3.0
"January 16–18, 2024",Echelon Insights,Buttigieg,13.0
"January 16–18, 2024",Echelon Insights,Harris,33.0
"January 16–18, 2024",Echelon Insights,Newsom,11.0
"January 16–18, 2024",Echelon Insights,Shapiro,2.0
