pulled_at,event_slug,question,candidate,yes_price,volume,liquidity,yes_token_id,end_date
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Gavin Newsom win the 2028 Democratic presidential nomination?,Gavin Newsom,0.1425,27186181.838147976,298192.4659,54533043819946592547517511176940999955633860128497669742211153063842200957669,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,Alexandria Ocasio-Cortez,0.1955,15112668.012857001,333311.67955,107064985435494333113391038470401719113272800530429703182710416066774068907304,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,Pete Buttigieg,0.0565,11987718.18121501,368855.87304,91031279171981959197361710127213577102576826515163085396576756946418341946256,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Josh Shapiro win the 2028 Democratic presidential nomination?,Josh Shapiro,0.0635,9879398.323132996,261023.52243,71169839497420596285841847514123589847893415750912355173877524195175834054354,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Wes Moore win the 2028 Democratic presidential nomination?,Wes Moore,0.0155,18418650.015748,357780.80737,90227223115596293448966158151606153337847900483048338623540402385929720677904,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,Stephen A. Smith,0.0015,22405593.793688998,1906772.22203,60590045489347122735554346200880179420435533609307820342798544098823516727807,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Kamala Harris win the 2028 Democratic presidential nomination?,Kamala Harris,0.0785,13174225.000558002,350323.55976,38171024903091354977195167437673496224420673639143973968032407064172828043588,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,Gretchen Whitmer,0.0045,12032865.26257298,228999.34652,57761428076807364758801249497410455358987881775226117256631754592198558850468,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Andy Beshear win the 2028 Democratic presidential nomination?,Andy Beshear,0.0265,13152787.510891005,553538.13546,26468656392978559668331516709623917078428425933265692717836103090220693717685,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Jon Ossoff win the 2028 Democratic presidential nomination?,Jon Ossoff,0.1615,12882362.418029003,310395.01098,70071592420137476676935286377781779672157004436137616627487590484756055232944,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Mark Cuban win the 2028 Democratic presidential nomination?,Mark Cuban,0.001,22929292.445201,1845236.26015,58378309871183461257693288827678410871907006920578755035402846056315798427503,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,J.B. Pritzker,0.0115,15608302.934963997,328041.94178,103988345069738240821107916249290759786442703283901164377120414690701074137717,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Raphael Warnock,0.0055,32181013.65091401,1819866.83209,52310257194926233099477326083312959938983447523839326865869372741334281264830,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Cory Booker win the 2028 Democratic presidential nomination?,Cory Booker,0.0065,26262269.182271004,1543436.41233,50887272939612765629559172143901565817521391945540156085421963433918821328137,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Tim Walz win the 2028 Democratic presidential nomination?,Tim Walz,0.0005,43350723.70342804,2853230.08974,104464678880204778606895232389511543522030897731392516718349574106843434770446,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Michelle Obama win the 2028 Democratic presidential nomination?,Michelle Obama,0.0025,26243007.815085005,2233636.25489,83723134981785004242996949681785273460678873813693556756054904164484296299719,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Mark Kelly win the 2028 Democratic presidential nomination?,Mark Kelly,0.0305,17488438.180742983,373609.7189,92325249719485031139867422012514654102580961954747753469470405147070256604118,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,Rahm Emanuel,0.026,14548113.753985992,764955.79625,10521981432803570450946212503203364998108630328528216082760514453664705157397,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Gina Raimondo win the 2028 Democratic presidential nomination?,Gina Raimondo,0.0015,35763210.74399903,2084937.63944,35165603539035270209469650915267170915291414186795231160733227083640059691764,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,Zohran Mamdani,0.0025,38927991.050710104,2538985.61549,19323997520040734631220675039559156784534982703459512097490198935565229528445,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Roy Cooper win the 2028 Democratic presidential nomination?,Roy Cooper,0.0005,31507909.13122602,1751627.20964,30732552320006664177902085971957467957450485111214036633872573588757974348601,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will John Fetterman win the 2028 Democratic presidential nomination?,John Fetterman,0.0005,25593882.054833986,2250506.84664,71289010523270989807437428651002770360280908813019627976988032260868574107425,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Jared Polis win the 2028 Democratic presidential nomination?,Jared Polis,0.0015,27344515.034758,956441.29734,42119164854283656238382173699154739480090965550328051492328192273011556335098,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Jon Stewart win the 2028 Democratic presidential nomination?,Jon Stewart,0.001,24722736.58153001,274059.20488,58343456405874365460518182619380252930558598368174305791768670198253267891911,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Barack Obama win the 2028 Democratic presidential nomination?,Barack Obama,0.0025,34031743.241368026,2475315.6118,88927218779847397120407909832537568114340511586397698395193736044476021744522,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Hillary Clinton win the 2028 Democratic presidential nomination?,Hillary Clinton,0.0015,43818833.12247007,2901836.03315,6349038249650226718426900942104344803413105653564595362433352811865798195800,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Liz Cheney win the 2028 Democratic presidential nomination?,Liz Cheney,0.0005,38478023.27262206,2822231.7642,41340056280794024415573839406074658402877379128871144681466050648033201160259,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Bernie Sanders win the 2028 Democratic presidential nomination?,Bernie Sanders,0.0035,52735969.979585,893025.0993,113510300123120868861281132282742729065975487298059944817273881893086209196585,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will Phil Murphy win the 2028 Democratic presidential nomination?,Phil Murphy,0.0005,42389277.98436505,2745934.24322,81633484456710374417231462107666791993850637546563366185897100962157481970040,2028-11-07T00:00:00Z
2026-09-10T14:59:10.131585+00:00,democratic-presidential-nominee-2028,Will LeBron James win the 2028 Democratic presidential nomination?,LeBron James,0.0005,43965682.91742708,2899739.14943,100561779829530520068956424581003844045516012444425572625523659025114550346085,2028-11-07T00:00:00Z
