pulled_at,event_slug,question,candidate,yes_price,volume,liquidity,yes_token_id,end_date
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Gavin Newsom win the 2028 Democratic presidential nomination?,Gavin Newsom,0.1415,27059021.218512993,315513.134,54533043819946592547517511176940999955633860128497669742211153063842200957669,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,Alexandria Ocasio-Cortez,0.1995,15096070.201666,359144.95067,107064985435494333113391038470401719113272800530429703182710416066774068907304,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,Pete Buttigieg,0.0555,11972812.748687012,363421.66157,91031279171981959197361710127213577102576826515163085396576756946418341946256,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Josh Shapiro win the 2028 Democratic presidential nomination?,Josh Shapiro,0.0485,9664483.918018991,440902.46884,71169839497420596285841847514123589847893415750912355173877524195175834054354,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Wes Moore win the 2028 Democratic presidential nomination?,Wes Moore,0.0155,18416996.650296003,349915.27502,90227223115596293448966158151606153337847900483048338623540402385929720677904,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,Stephen A. Smith,0.0025,21795324.01368901,1309420.81909,60590045489347122735554346200880179420435533609307820342798544098823516727807,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Kamala Harris win the 2028 Democratic presidential nomination?,Kamala Harris,0.0775,13150568.997537993,369377.44411,38171024903091354977195167437673496224420673639143973968032407064172828043588,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,Gretchen Whitmer,0.007,11994222.772667985,214672.57727,57761428076807364758801249497410455358987881775226117256631754592198558850468,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Andy Beshear win the 2028 Democratic presidential nomination?,Andy Beshear,0.025,13066396.822128005,581104.97332,26468656392978559668331516709623917078428425933265692717836103090220693717685,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Jon Ossoff win the 2028 Democratic presidential nomination?,Jon Ossoff,0.1585,12858781.736702003,318086.44826,70071592420137476676935286377781779672157004436137616627487590484756055232944,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Mark Cuban win the 2028 Democratic presidential nomination?,Mark Cuban,0.0055,22883234.069713995,1886531.55963,58378309871183461257693288827678410871907006920578755035402846056315798427503,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,J.B. Pritzker,0.0105,15539203.464864971,365117.80531,103988345069738240821107916249290759786442703283901164377120414690701074137717,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Raphael Warnock,0.0055,32140470.347248003,1816944.13712,52310257194926233099477326083312959938983447523839326865869372741334281264830,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Cory Booker win the 2028 Democratic presidential nomination?,Cory Booker,0.0065,26095664.251427006,1617679.1986,50887272939612765629559172143901565817521391945540156085421963433918821328137,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Tim Walz win the 2028 Democratic presidential nomination?,Tim Walz,0.0015,43083780.07242802,2874679.19182,104464678880204778606895232389511543522030897731392516718349574106843434770446,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Michelle Obama win the 2028 Democratic presidential nomination?,Michelle Obama,0.0075,26196534.47183601,2184190.34173,83723134981785004242996949681785273460678873813693556756054904164484296299719,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Mark Kelly win the 2028 Democratic presidential nomination?,Mark Kelly,0.0305,17474060.172132995,359679.34724,92325249719485031139867422012514654102580961954747753469470405147070256604118,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,Rahm Emanuel,0.0265,14536289.814364996,740351.76162,10521981432803570450946212503203364998108630328528216082760514453664705157397,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Gina Raimondo win the 2028 Democratic presidential nomination?,Gina Raimondo,0.0015,35722069.85364801,2113433.88685,35165603539035270209469650915267170915291414186795231160733227083640059691764,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,Zohran Mamdani,0.0025,38854673.66354405,2602033.51924,19323997520040734631220675039559156784534982703459512097490198935565229528445,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Roy Cooper win the 2028 Democratic presidential nomination?,Roy Cooper,0.0035,31453380.060565997,1764300.69531,30732552320006664177902085971957467957450485111214036633872573588757974348601,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will John Fetterman win the 2028 Democratic presidential nomination?,John Fetterman,0.0015,25564662.212834008,1776285.74213,71289010523270989807437428651002770360280908813019627976988032260868574107425,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Jared Polis win the 2028 Democratic presidential nomination?,Jared Polis,0.0015,27333920.192990996,958796.6449,42119164854283656238382173699154739480090965550328051492328192273011556335098,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Jon Stewart win the 2028 Democratic presidential nomination?,Jon Stewart,0.006,24652874.70161402,269258.09542,58343456405874365460518182619380252930558598368174305791768670198253267891911,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Barack Obama win the 2028 Democratic presidential nomination?,Barack Obama,0.0025,34009481.43964804,2458599.48775,88927218779847397120407909832537568114340511586397698395193736044476021744522,2028-11-07T00:00:00Z
2026-09-03T15:00:13.950618+00:00,democratic-presidential-nominee-2028,Will Hillary Clinton win the 2028 Democratic presidential nomination?,Hillary Clinton,0.0015,43767002.799470015,2899919.50991,6349038249650226718426900942104344803413105653564595362433352811865798195800,2028-11-07T00:00:00Z
